method,dataset,p,k-1,ParTime
random,out.github-swap.txt,64,261364,304
random,out.github-swap.txt,128,304210,262
random,out.github-swap.txt,256,334934,252
random,out.actor-movie,2,107605,789
random,out.actor-movie,4,239214,747
random,out.actor-movie,8,391846,779
random,out.actor-movie,16,555436,915
random,out.actor-movie,32,713158,874
random,out.actor-movie,64,846500,933
random,out.actor-movie,128,944490,986
random,out.actor-movie,256,1007638,1004
random,out.actor-movie-swap.txt,2,110335,594
random,out.actor-movie-swap.txt,4,284758,664
random,out.actor-movie-swap.txt,8,514131,821
random,out.actor-movie-swap.txt,16,758567,916
random,out.actor-movie-swap.txt,32,971851,1052
random,out.actor-movie-swap.txt,64,1127127,1165
random,out.actor-movie-swap.txt,128,1225492,1140
random,out.actor-movie-swap.txt,256,1281027,1139
random,out.dblp-author,2,2096724,11946
random,out.dblp-author,4,3878884,11941
random,out.dblp-author,8,5092066,12374
random,out.dblp-author,16,5815201,13288
random,out.dblp-author,32,6222616,13701
random,out.dblp-author,64,6435168,13776
random,out.dblp-author,128,6544666,13402
random,out.dblp-author,256,6600643,13365
random,out.dblp-author-swap.txt,2,1336567,11082
random,out.dblp-author-swap.txt,4,2691282,11842
random,out.dblp-author-swap.txt,8,4066518,13074
random,out.dblp-author-swap.txt,16,5429407,14899
random,out.dblp-author-swap.txt,32,6716501,15104
random,out.dblp-author-swap.txt,64,7847384,15291
random,out.dblp-author-swap.txt,128,8749713,15796
random,out.dblp-author-swap.txt,256,9394054,16914
random,reuters.txt,2,141492,14778
random,reuters.txt,4,344940,15436
random,reuters.txt,8,635305,15924
random,reuters.txt,16,1044284,17688
random,reuters.txt,32,1617071,19058
random,reuters.txt,64,2409518,19977
random,reuters.txt,128,3500814,20391
random,reuters.txt,256,4989202,22343
random,reuters-swap.txt,2,781259,17246
random,reuters-swap.txt,4,2341171,19088
random,reuters-swap.txt,8,5384947,20172
random,reuters-swap.txt,16,10880989,21094
random,reuters-swap.txt,32,19310554,22348
random,reuters-swap.txt,64,29884318,23293
random,reuters-swap.txt,128,40285271,25596
random,reuters-swap.txt,256,48531842,25677
random,out.trackers,2,3665527,82409
random,out.trackers,4,7738701,88835
random,out.trackers,8,12125895,95165
random,out.trackers,16,16712794,99685
random,out.trackers,32,21486141,103254
random,out.trackers,64,26297070,102996
random,out.trackers,128,31073575,108571
random,out.trackers,256,35702655,116151
random,out.trackers-swap.txt,2,15286895,89847
random,out.trackers-swap.txt,4,32034815,100605
random,out.trackers-swap.txt,8,48193242,108147
random,out.trackers-swap.txt,16,57896501,112094
random,out.trackers-swap.txt,32,69408285,117511
random,out.trackers-swap.txt,64,75040745,113553
random,out.trackers-swap.txt,128,81950256,111920
random,out.trackers-swap.txt,256,87003368,112920
random,out.orkut-groupmemberships,2,5726780,174204
random,out.orkut-groupmemberships,4,13879396,187372
random,out.orkut-groupmemberships,8,24514716,195024
random,out.orkut-groupmemberships,16,37414094,200162
random,out.orkut-groupmemberships,32,52343344,220171
random,out.orkut-groupmemberships,64,69241617,224146
random,out.orkut-groupmemberships,128,88149300,232292
random,out.orkut-groupmemberships,256,109077949,235014
random,out.orkut-groupmemberships-swap.txt,2,2598080,167407
random,out.orkut-groupmemberships-swap.txt,4,7348295,166892
random,out.orkut-groupmemberships-swap.txt,8,15530797,176972
random,out.orkut-groupmemberships-swap.txt,16,28786052,179621
random,out.orkut-groupmemberships-swap.txt,32,49272123,197628
random,out.orkut-groupmemberships-swap.txt,64,79446211,205636
random,out.orkut-groupmemberships-swap.txt,128,120848814,218861
random,out.orkut-groupmemberships-swap.txt,256,171128105,222524
random,enwiki.txt,2,16828780,225890
random,enwiki.txt,4,37895142,233482
